Lemma	Wordlist	Rank	SFI	U	D	F	Rank	Coverage	Cumulative					
market	1 - NGSL	219	66.528	449.53	0.8717	"140,624"	209	0.0005	0.65					
pay	1 - NGSL	220	66.506	447.32	0.9570	"128,919"	230	0.0005	0.66					
build	1 - NGSL	221	66.497	446.34	0.9770	"126,293"	233	0.0005	0.66					
hold	1 - NGSL	222	66.450	441.56	0.9662	"126,162"	234	0.0005	0.66					
service	1 - NGSL	223	66.437	440.21	0.8757	"137,134"	214	0.0005	0.65					
against	1 - NGSL	224	66.393	435.82	0.9587	"125,383"	236	0.0005	0.66					
believe	1 - NGSL	225	66.384	434.88	0.9770	"123,062"	243	0.0004	0.67					
second	1 - NGSL	226	66.363	432.78	0.9884	"121,219"	245	0.0004	0.67					
though	1 - NGSL	227	66.338	430.28	0.9602	"123,593"	240	0.0005	0.67					
yes	1 - NGSL	228	66.333	429.81	0.6862	"165,429"	172	0.0006	0.63					
love	1 - NGSL	229	66.300	426.59	0.8903	"130,772"	226	0.0005	0.66					
increase	1 - NGSL	230	66.283	424.91	0.8789	"131,818"	224	0.0005	0.66					
job	1 - NGSL	231	66.282	424.81	0.9423	"124,065"	238	0.0005	0.67					
plan	1 - NGSL	232	66.280	424.57	0.9525	"122,872"	244	0.0004	0.67					
result	1 - NGSL	233	66.274	424.07	0.8657	"133,284"	220	0.0005	0.66					
away	1 - NGSL	234	66.271	423.69	0.9325	"124,839"	237	0.0005	0.67					
example	1 - NGSL	235	66.236	420.30	0.9369	"123,356"	242	0.0005	0.67					
happen	1 - NGSL	236	66.234	420.14	0.9161	"125,830"	235	0.0005	0.66					
offer	1 - NGSL	237	66.208	417.61	0.8920	"127,944"	231	0.0005	0.66					
young	1 - NGSL	238	66.196	416.51	0.9759	"117,962"	249	0.0004	0.67					
close	1 - NGSL	239	66.191	415.99	0.9894	"116,409"	252	0.0004	0.67					
program	1 - NGSL	240	66.170	414.04	0.9484	"120,264"	246	0.0004	0.67					
lead	1 - NGSL	241	66.133	410.48	0.9625	"117,677"	250	0.0004	0.67					
buy	1 - NGSL	242	66.074	404.94	0.8914	"124,046"	239	0.0005	0.67					
understand	1 - NGSL	243	66.051	402.83	0.9934	"112,330"	257	0.0004	0.67					
thank	1 - NGSL	244	66.009	398.97	0.8056	"133,473"	218	0.0005	0.66					
far	1 - NGSL	245	65.998	397.96	0.9896	"111,347"	259	0.0004	0.67					
today	1 - NGSL	246	65.938	392.48	0.8673	"123,451"	241	0.0005	0.67					
hour	1 - NGSL	247	65.927	391.46	0.9695	"111,511"	258	0.0004	0.67					
student	1 - NGSL	248	65.924	391.17	0.8956	"119,342"	247	0.0004	0.67					
face	1 - NGSL	249	65.910	389.95	0.9126	"117,026"	251	0.0004	0.67					
hope	1 - NGSL	250	65.886	387.80	0.9207	"115,538"	254	0.0004	0.67					
idea	1 - NGSL	251	65.872	386.52	0.9844	"108,646"	267	0.0004	0.68					
cost	1 - NGSL	252	65.861	385.59	0.9193	"115,082"	255	0.0004	0.67					
less	1 - NGSL	253	65.857	385.23	0.9775	"108,951"	266	0.0004	0.68					
room	1 - NGSL	254	65.852	384.79	0.9077	"116,004"	253	0.0004	0.67					
until	1 - NGSL	255	65.835	383.23	0.9864	"107,527"	270	0.0004	0.68					
